"NORDEN"	"IDHOGAR"	"TMUNI"	"NHOGAR"	"EHOGAR"	"SEXO"	"EDAD"	"NACIONALIDAD"	"ESTUDIANTE"	"REGLADO"	"NOREGLADO"	"NEST"	"NEST2"	"C01"	"C02"	"C03"	"C04"	"MCL"	"C08"	"C09A"	"C10"	"C11A"	"C12"	"C13A"	"C14"	"C15A"	"C16"	"C17A"	"C18"	"C19A"	"C20"	"C21A"	"C22"	"C23A"	"C24"	"C25A"	"C26"	"C27A"	"C28A"	"C29A"	"C31A"	"C33A"	"C34A"	"DLIB"	"LIB"	"D42"	"D43"	"D44"	"D45"	"D47"	"D48"	"D50"	"D51"	"D53"	"D54"	"D56"	"D57"	"GTT"	"GTS"	"GTSR"	"GTSNR"	"GTB"	"E59"	"E60R1"	"E60R2"	"E60R3"	"E60R4"	"E60R5"	"E60R6"	"E61R1"	"E61R2"	"E61R3"	"E61R4"	"E61R5"	"E61R6"	"E61R7"	"E62R1"	"E62R2"	"E62R3"	"E62R4"	"FACTOR"
0007732	0303	1		3	1	21	1	1	0	1	5	11																													1700		1	120	1	150			1	30	2		2		2		2000	1700		1700	300																			1332.439358
0007733	0303	1		3	2	22	1	1	1	0	4	09	1	1	2		0	2				2												2		2							1	250	2				1	100	2		2		2		350				350	2														2	2	2	2	1332.439358
0006956	0304	1		1	1	56	1	0	0	0	0	00																																																																				627.475141
0006957	0304	1		1	2	53	1	0	0	0	0	00																																																																				627.475141
0006958	0304	1		1	1	29	1	1	1	0	4	08	1	2	2		400	2				2												2		2							2		1	50			1	50	2		2		2		500	400	400		100	2														2	2	2	2	627.475141
0007734	0305	1		1	2	8	1	1	1	0	2	03	1	1	1		0	2		2		2		2		2		2		2		2		2		2							1	0	2		2		1	10	2		2		2		10				10	2	2	2	2	2	2	2												993.327319
0007735	0305	1		1	2	33	1	0	0	0	0	00																																																																				993.327319
0007736	0305	1		1	2	1	1	0	0	0	0	00																																																																				993.327319
0007737	0305	1		1	1	35	1	0	0	0	0	00																																																																				993.327319
0008705	0306	2		1	1	40	1	0	0	0	0	00																																																																				1697.68759
0008706	0306	2		1	2	36	1	0	0	0	0	00																																																																				1697.68759
0008707	0306	2		1	1	5	1	1	1	1	1	02	1	1	1		0	1	0	2		2		2		2		2		1	30	1	12	2		2			500				1	160	2		1	30	1	45	2		2		2		777	542	42	500	235	1	2	2	2	1	2	2												1697.68759
0008708	0307	2		2	1	43	1	0	0	0	0	00																																																																				1260.625489
0008709	0307	2		2	2	45	1	0	0	0	0	00																																																																				1260.625489
0007738	0307	2		2	2	14	1	1	1	0	3	04	1	1	1		0	2		2		2				2		2		1	70	1	12	2		1	900						1	300	1	10	1	52	1	120	1	45	2		1	30	1539	982	982		557	2	2	2	2	2	2	2												1260.625489
0007739	0307	2		2	1	8	1	1	1	0	2	03	1	1	1		0	2		2		2		2		1	0	2		1	12	1	15	2		2							1	350	2		1	70	1	130	1	150	2		2		727	27	27		700	2	2	2	2	2	2	2												1260.625489
0006962	0308	2		1	1	47	1	0	0	0	0	00																																																																				864.056271
0006963	0308	2		1	2	47	1	0	0	0	0	00																																																																				864.056271
0006964	0308	2		1	2	14	1	1	1	1	3	04	2	1	1		0	2		2		2				2		1	495	1	170	1	36	2		2			300				1	152	2		1	109	1	20	2		2		1	16	1298	1001	701	300	297	1	2	2	2	1	2	2												864.056271
0007740	0309	4		1	2	41	1	0	0	0	0	00																																																																				954.714375
0007741	0309	4		1	2	8	1	1	1	0	2	03	1	1	1		0	2		1	0	2		2		2		2		1	23	2		2		2							1	120	2		1	28	1	90	2		2		2		261	23	23		238	1	2	2	2	1	2	2												954.714375
0006966	0310	2		3	1	47	1	0	0	0	0	00																																																																				1176.643986
0006967	0310	2		3	2	43	1	1	0	1	5	11																													560		2		2				1	20	2		2		2		580	560		560	20																			1176.643986
0006968	0310	2		3	2	7	1	1	1	0	2	03	1	1	1		0	1	0	2		2		1	0	1	0	1	0	1	25	1	12	2		2							1	0	2		2		1	70	2		2		2		107	37	37		70	1	2	1	2	1	2	1												1176.643986
0010406	0310	2		3	2	13	1	1	1	0	3	04	1	1	1		0	2		2		2				2		2		1	435	1	12	2		2							1	40	1	10	2		1	40	2		2		1	60	597	447	447		150	1	2	2	2	1	2	2												1176.643986
0008710	0311	2		2	1	49	1	0	0	0	0	00																																																																				889.728023
0008711	0311	2		2	2	47	1	0	0	0	0	00																																																																				889.728023
0008712	0311	2		2	1	20	1	1	0	1	5	11																														0	2		2				2		2		2		2																									889.728023
0008713	0311	2		2	2	16	1	1	1	0	3	04	1	1	1		0	2		2		2				2		2		1	30	2		2		1	384						1	25	1	3	2		1	20	2		2		2		462	414	414		48	1	2	2	2	1	2	2												889.728023
0006969	0312	1		2	1	53	1	0	0	0	0	00																																																																				794.441307
0006970	0312	1		2	2	49	1	1	0	1	5	11																													560		2		2				1	25	2		1	85	2		670	560		560	110																			794.441307
0006971	0312	1		2	1	20	1	1	1	0	4	08	1	1	3		1400	1	560			2												2		1	1000						1	200	2				1	150	2		1	750	2		4060	2960	2960		1100	2														2	2	2	2	794.441307
0008714	0313	4		1	1	51	1	0	0	0	0	00																																																																				565.316146
0008715	0313	4		1	2	53	1	0	0	0	0	00																																																																				565.316146
0008716	0313	4		1	2	15	1	1	1	0	3	04	1	1	1		0	2		2		2				2		2		2		2		2		2							1	449	2		1	44	1	100	2		1	600	2		1193				1193	2	2	2	2	2	2	2												565.316146
0008717	0314	4		2	1	80	1	0	0	0	0	00																																																																				1774.883773
0008718	0314	4		2	2	77	1	0	0	0	0	00																																																																				1774.883773
0008719	0314	4		2	2	45	1	0	0	0	0	00																																																																				1774.883773
0008720	0314	4		2	2	16	1	1	1	0	3	04	1	1	1		0	2		2		2				1	0	2		2		1	6	2		2							2		2		1	30	1	120	2		1	280	1		439				433	1	2	2	2	1	2	2												1774.883773
0008721	0314	4		2	1	25	1	0	0	0	0	00																																																																				1774.883773
0008722	0314	4		2	2	18	1	0	0	0	0	00																																																																				1774.883773
0008723	0314	4		2	1	4	1	1	1	0	1	02	1	1	1		0	2		2		2		2		2		2		1	15	1	35	2		2							1	197	2		1	200	2		2		1	100	2		547	50	50		497	2	2	2	2	2	2	2												1774.883773
0008724	0314	4		2	1	0	1	0	0	0	0	00																																																																				1774.883773
0006974	0315	4		1	1	54	1	0	0	0	0	00																																																																				1053.00647
0006975	0315	4		1	2	54	1	0	0	0	0	00																																																																				1053.00647
0006976	0315	4		1	1	23	1	1	1	0	4	08	1	1	4		0	2				2												2		2							2		2				1	100	2		2		2		100				100	1														1	2	1	2	1053.00647
0006977	0315	4		1	2	25	1	0	0	0	0	00																																																																				1053.00647
0006978	0316	4		1	2	33	1	1	0	1	5	11																													360		1	45	1	24			2		1	90	2		2		519	360		360	159																			1035.839596
0006979	0316	4		1	1	38	1	0	0	0	0	00																																																																				1035.839596
0006980	0316	4		1	2	2	1	0	0	0	0	00																																																																				1035.839596
0006981	0316	4		1	1	0	1	0	0	0	0	00																																																																				1035.839596
0008725	0317	4		2	2	62	1	1	0	1	5	11																													640		1	40	1	80			2		2		2		2		760	640		640	120																			682.510013
0008726	0317	4		2	1	24	1	1	1	1	4	08	1	1	3		1250	1	200			2												1	236	2			180				2		1	200			2		2		2		1	50	2116	1866	1686	180	250	2														2	2	2	2	682.510013
0007746	0318	1		3	1	60	1	0	0	0	0	00																																																																				726.993101
0007747	0318	1		3	2	53	1	1	1	0	3	04	1	2	2		0	2		2		2				2		2		2		2		2		2							2		2		2		1	100	2		2		2		100				100	2	2	2	2	2	2	2												726.993101
0007748	0318	1		3	2	25	1	1	1	0	4	09	1	2	3		170	2				2												2		2		170					1	200	2				1	50	2		2		2		420	170	170		250	2														2	2	2	2	726.993101
0007749	0318	1		3	2	22	1	1	1	0	4	08	1	1	4		600	2				2												2		2							2		1	40			1	18	2		2		2		658	600	600		58	1														1	2	1	2	726.993101
0013119	0319	1		1	1	53	1	0	0	0	0	00																																																																				697.42846
